,Headline,Date,Description
114,AstraZeneca ‘still on track’ to submit Covid vaccine data before end of year,2020-09-10 14:58:55,"<span>...As well as the AstraZeneca-Oxford university vaccine, two others — manufactured by <mark class=""search-item__highlight"">Pfizer</mark> and Moderna — were “also advancing quite quickly”, he said. But many questions...</span>"
113,Oxford and AstraZeneca resume coronavirus vaccine trial,2020-09-13 10:07:13,"<span>...monitor safety closely,” said Oxford.Separately, another leading coronavirus vaccine partnership — between <mark class=""search-item__highlight"">Pfizer</mark> of the US and BioNTech of Germany — announced on Saturday that it...</span>"
112,Wall Street higher as Nasdaq regains ground,2020-09-14 20:07:02,"<span>...said Tapas Strickland, director of economics at National Australia Bank.On Sunday, <mark class=""search-item__highlight"">Pfizer</mark>’s chief executive said it was “likely” that a vaccine would be...</span>"
111,Researchers gain head start in coronavirus vaccine race,2020-09-15 02:00:54,"<span class=""o-teaser__tag-prefix"">Special Report</span>"
110,BioNTech buys Novartis site to boost EU vaccine production,2020-09-17 08:00:21,"<span>...purchase, for an undisclosed sum, will give BioNTech and its US partner <mark class=""search-item__highlight"">Pfizer</mark> the capacity to fulfil all advance orders for its coronavirus vaccine from...</span>"
109,Moderna signals slower timeline for Covid-19 vaccine,2020-09-17 16:23:33,"<span>...vaccine course. It also set out a slower analysis timeline than rival <mark class=""search-item__highlight"">Pfizer</mark> and its partner BioNTech, which said they would have their key data...</span>"
108,Scientists call for clarity on AstraZeneca’s Covid vaccine trial,2020-09-22 19:09:27,"<span>...will decide when the US trial can resume.” Vaccine makers including AstraZeneca, <mark class=""search-item__highlight"">Pfizer</mark> and Moderna have tried to be more transparent by publishing their trial...</span>"
107,US regulators set higher bar for Covid-19 vaccine,2020-09-23 04:04:12,"<span>...least two months of monitoring after receiving their last shot. Moderna and <mark class=""search-item__highlight"">Pfizer</mark>, with its partner BioNTech, started their trials in late July. But both...</span>"
106,J&J launches first phase 3 trial of single-dose vaccine,2020-09-23 11:13:14,"<span>...at the end of July of vaccines developed by Moderna and by <mark class=""search-item__highlight"">Pfizer</mark> and its partner BioNTech.“We would predict that you could get an...</span>"
105,How close is a coronavirus vaccine?,2020-09-23 11:45:48,"<span>...university; two of the most advanced US candidates come from pharmaceutical company <mark class=""search-item__highlight"">Pfizer</mark>, in partnership with Germany’s BioNTech, and Moderna; four vaccines are being...</span>"
149,Pfizer chief hits out at politicisation of Covid-19 vaccine,2020-10-01 22:45:33,"<span><mark class=""search-item__highlight"">Pfizer</mark> chief hits out at politicisation of Covid-19 vaccine</span>"
148,City Bulletin: Markets react to Donald Trump’s positive coronavirus test,2020-10-02 07:17:25,"<span> <span class=""o-labels o-labels--premium o-labels--content-premium"">Premium</span><span class=""o-normalise-visually-hidden""> content</span></span>"
147,FirstFT: Today’s top stories,2020-10-02 10:28:10,"<span>...159,000 jobs, according to an audit issued by the state comptroller.<mark class=""search-item__highlight"">Pfizer</mark>’s chief executive criticised vaccine politicisation, saying his company would move at...</span>"
146,Trump’s positive coronavirus test throws US election into chaos,2020-10-02 17:57:25,"<span> <span class=""o-labels o-labels--premium o-labels--content-premium"">Premium</span><span class=""o-normalise-visually-hidden""> content</span></span>"
145,"Less than half UK population to receive vaccine, says task force head",2020-10-04 21:06:23,"<span>...candidates in its portfolio, produced by AstraZeneca and Oxford university; BioNTech and <mark class=""search-item__highlight"">Pfizer</mark>; Valneva; Novavax; Johnson &amp; Johnson; and GlaxoSmithKline.All are likely to require two...</span>"
144,Business ethics guru accused of cheating shareholders,2020-10-05 04:00:10,"<span>...training to dozens of blue-chip businesses, which have included pharmaceuticals company <mark class=""search-item__highlight"">Pfizer</mark>, media conglomerate Viacom, and Altria, the maker of Marlboro cigarettes. The New...</span>"
143,Bristol-Myers Squibb: what the heart wants,2020-10-05 17:42:32,"<span class=""o-teaser__tag-prefix"">Lex</span>"
142,EU fast-tracks process for Pfizer and BioNTech’s Covid-19 vaccine,2020-10-06 09:42:13,"<span>EU fast-tracks process for <mark class=""search-item__highlight"">Pfizer</mark> and BioNTech’s Covid-19 vaccine</span>"
141,FirstFT: Today’s top stories,2020-10-06 10:35:35,"<span>...Covid-19 vaccine developed by Germany’s BioNTech and US pharma group <mark class=""search-item__highlight"">Pfizer</mark>.South Korea and Japan have agreed to allow business travellers to enter...</span>"
140,Citi executive Ray McGuire to enter New York City mayor’s race,2020-10-15 16:20:11,"<span>...merger with AT&amp;T, and represented Wyeth during its $68bn sale to <mark class=""search-item__highlight"">Pfizer</mark>.A towering figure, he is well liked by colleagues on both sides...</span>"
139,Pfizer to seek FDA approval for Covid-19 vaccine in November,2020-10-16 11:28:47,"<span><mark class=""search-item__highlight"">Pfizer</mark> to seek FDA approval for Covid-19 vaccine in November</span>"
138,Global stocks regain ground as earnings results provide cheer,2020-10-16 20:32:44,"<span>...for the aircraft. Boeing stock gained nearly 2 per cent. Shares in <mark class=""search-item__highlight"">Pfizer</mark> rose almost 4 per cent after the US drug group said it...</span>"
137,Poor countries flex collective muscle to access treatments,2020-10-19 01:14:23,"<span>...and no backing from the industry. Albert Bourla, the chief executive of <mark class=""search-item__highlight"">Pfizer</mark>, for one, has dubbed the idea of pooling “nonsense”. The Medicines Patent...</span>"
136,US stocks slide as stimulus deadline looms,2020-10-19 20:26:17,"<span>...against upbeat growth data from China and Friday’s news that drugmaker <mark class=""search-item__highlight"">Pfizer</mark> would apply in November for emergency US approval of its Covid-19...</span>"
135,How much will a Covid-19 vaccine cost? ,2020-10-23 03:45:23,"<span>...others. For example, mRNA vaccines, such as those from Moderna and the <mark class=""search-item__highlight"">Pfizer</mark> and BioNTech partnership, are more expensive to manufacture than vaccines based on...</span>"
134,The final Trump-Biden debate: five key moments,2020-10-23 04:47:16,"<span class=""o-teaser__tag-prefix"">Explainer</span>"
133,Bayer spends up to $4bn in gene therapy push,2020-10-26 07:30:50,"<span>...for rare diseases, including one for muscular dystrophy that it sold to <mark class=""search-item__highlight"">Pfizer</mark>. AskBio, which has more than 500 patents, is also trying to develop...</span>"
132,Mexico uses human trials as path to secure future Covid-19 vaccines,2020-10-26 11:00:30,"<span>...to test shots from AstraZeneca, SinoVac, J&amp;J and the partnership between <mark class=""search-item__highlight"">Pfizer</mark> and BioNTech.But Brazilian president, Jair Bolsonaro, who has often played down...</span>"
131,Bayer/gene therapy: blurred visionary,2020-10-26 15:55:22,"<span class=""o-teaser__tag-prefix"">Lex</span>"
130,US experts urge caution on giving Covid vaccine to children,2020-10-27 05:00:37,"<span>...risk-benefit analysis that’s very hard to do,” Ms Bingham said. <mark class=""search-item__highlight"">Pfizer</mark> this month received approval to expand its Covid-19 vaccine trial to...</span>"
129,Pfizer urges patience in ‘last mile’ of Covid-19 vaccine process,2020-10-27 17:23:38,"<span><mark class=""search-item__highlight"">Pfizer</mark> urges patience in ‘last mile’ of Covid-19 vaccine process</span>"
128,Global stocks extend losses on Covid-19 surge,2020-10-27 20:13:46,"<span>...third-quarter results disappointed. Its shares were down 6.9 per cent. <mark class=""search-item__highlight"">Pfizer</mark>, down 1.3 per cent, also scaled back its guidance and noted...</span>"
127,FirstFT: Today’s top stories ,2020-10-28 11:32:01,"<span>...day.European stocks slide to five-month low on mounting Covid worries.<mark class=""search-item__highlight"">Pfizer</mark>’s chief executive has urged patience in the “last mile” of vaccine...</span>"
126,Coronavirus: Fitch cuts Chicago’s outlook to ‘negative’ citing pandemic hit — as it happened,2020-10-28 21:50:22,"<span class=""save-button-longer-copy"" data-variant-label="""">Save </span>"
125,Moderna rakes in $1bn deposits for potential Covid vaccine,2020-10-29 16:49:54,"<span>...or vaccines. Stephen Hoge, Moderna’s president, told the Financial Times that <mark class=""search-item__highlight"">Pfizer</mark>, Johnson &amp; Johnson or AstraZeneca are not in the same position, because vaccines...</span>"
1384,Race to discover pandemic vaccine faces hurdles,2020-11-03 01:00:30,"<span class=""o-teaser__tag-prefix"">Special Report</span>"
1383,FT Health: The dangers of data,2020-11-04 14:21:50,"<span>...J&amp;J got the go-ahead to resume vaccine trials, but the <mark class=""search-item__highlight"">Pfizer</mark> chief called for patience in the “last mile” of the process. Unicef...</span>"
1382,AstraZeneca misses target for delivery of UK Covid vaccine,2020-11-04 17:18:02,"<span>...AstraZeneca vaccine will be supplemented by up to 10m doses of the <mark class=""search-item__highlight"">Pfizer</mark>/BioNTech vaccine this year, as well as many more doses of the...</span>"
1381,"Covid-19 vaccine market worth $10bn a year, analysts say",2020-11-05 05:00:32,"<span>...to discuss the potential of the Covid-19 vaccine market. Merck and <mark class=""search-item__highlight"">Pfizer</mark> were not available to comment prior to publication.Executives at major pharma...</span>"
1380,AstraZeneca still suffering growing pains,2020-11-05 16:56:22,"<span class=""o-teaser__tag-prefix"">Lombard</span>"
1379,FirstFT: Today’s top stories,2020-11-09 12:16:01,"<span>...president-elect. (FT)Coronavirus digest A Covid-19 vaccine being developed by <mark class=""search-item__highlight"">Pfizer</mark> and Germany’s BioNTech has been found to be more than 90...</span>"
1378,Markets go pop as BioNTech reveals effective Covid-19 vaccine ,2020-11-09 13:12:35,"<span>...Whoa! The good news keeps on coming. Via the FT’s industry correspondent Joe Miller: The impact of the <mark class=""search-item__highlight"">Pfizer</mark>/BioNTech news on stocks has...</span>"
1377,Pfizer and BioNTech’s Covid-19 vaccine found to be 90% effective ,2020-11-09 13:29:42,"<span><mark class=""search-item__highlight"">Pfizer</mark> and BioNTech’s Covid-19 vaccine found to be 90% effective </span>"
1376,Coronavirus vaccine breakthrough — here’s the sell-side reaction,2020-11-09 14:05:04,"<span>...pixel, Gilead is flat in pre-market.Next up is Morgan Stanley:<mark class=""search-item__highlight"">Pfizer</mark>/BioNTech announced that its COVID-19 vaccine achieved &gt;90% vaccine efficacy in...</span>"
1375,Pfizer/BioNTech vaccine: a new hope,2020-11-09 17:25:28,"<span class=""o-teaser__tag-prefix"">Lex</span>"
1374,US corporate credit joins in Covid vaccine rally,2020-11-09 17:29:51,"<span>...second big fiscal stimulus. The rally gained another tailwind on Monday after <mark class=""search-item__highlight"">Pfizer</mark> and BioNTech announced that their Covid-19 vaccine is more than 90...</span>"
